model,dataset,scenario,seed,fold,accuracy,precision,recall,f1,distribution,degenerate,train_time_ms,inf_time_ms,auto_direction,auto_threshold
lstm,BATADAL,gaussian_noise,42,0,0.7058823529411765,0.0,0.0,0.0,"{'0': 668, '1': 165}",False,0.0,21.292686462402344,,
gru,BATADAL,gaussian_noise,42,0,0.7466986794717887,0.2600732600732601,0.8875,0.40226628895184136,"{'0': 560, '1': 273}",False,0.0,25.040626525878906,,
cnn1d,BATADAL,gaussian_noise,42,0,0.7190876350540216,0.08602150537634409,0.2,0.12030075187969924,"{'0': 647, '1': 186}",False,0.0,30.460834503173828,,
automata,BATADAL,gaussian_noise,42,0,0.7249698431845597,0.13725490196078433,0.35,0.19718309859154928,"{'0': 625, '1': 204}",False,11.150121688842773,0.99945068359375,low,-2.1302391889579746
lstm,SKAB,original,123,0,0.8887902330743618,0.8448275862068966,0.826735885788449,0.835683830764185,"{'0': 2997, '1': 1508}",False,0.0,126.05619430541992,,
gru,SKAB,original,123,0,0.8785793562708102,0.8198198198198198,0.826735885788449,0.8232633279483037,"{'0': 2951, '1': 1554}",False,0.0,145.31636238098145,,
cnn1d,SKAB,original,123,0,0.862819089900111,0.7802064359441409,0.8338741077222582,0.8061480552070264,"{'0': 2858, '1': 1647}",False,0.0,175.13275146484375,,
automata,SKAB,original,123,0,0.578538102643857,0.43397626112759646,0.7592472420506164,0.5522775548737314,"{'0': 1805, '1': 2696}",False,42.203664779663086,3.000974655151367,high,-0.3985185916839477
lstm,SKAB,gaussian_noise,123,0,0.5691453940066593,0.39669421487603307,0.4983776768332252,0.44176013805004316,"{'0': 2569, '1': 1936}",False,0.0,184.251070022583,,
gru,SKAB,gaussian_noise,123,0,0.38246392896781356,0.34854771784232363,0.9266709928617781,0.506562610854913,"{'0': 408, '1': 4097}",False,0.0,150.18963813781738,,
cnn1d,SKAB,gaussian_noise,123,0,0.4102108768035516,0.3564076170869789,0.8987670343932511,0.5104109084208587,"{'0': 619, '1': 3886}",False,0.0,175.5533218383789,,
automata,SKAB,gaussian_noise,123,0,0.6369695623194845,0.34448160535117056,0.06683971447112265,0.11195652173913044,"{'0': 4202, '1': 299}",False,55.42111396789551,1.9636154174804688,high,-0.3985185916839477
lstm,SKAB,original,123,1,0.916462463800401,0.8712363869314542,0.8865710560625815,0.8788368336025848,"{'0': 2928, '1': 1561}",False,0.0,128.0062198638916,,
