model,dataset,scenario,seed,fold,accuracy,precision,recall,f1,distribution,degenerate,train_time_ms,inf_time_ms,auto_direction,auto_threshold
cnn1d,SKAB,original,7,1,0.9220316328803743,0.8819354838709678,0.8911342894393742,0.8865110246433203,"{'0': 2939, '1': 1550}",False,0.0,154.7558307647705,,
automata,SKAB,original,7,1,0.5641025641025641,0.41583366653338666,0.6779661016949152,0.5154894671623296,"{'0': 1984, '1': 2501}",False,43.981313705444336,1.9998550415039062,high,-0.29230406813461635
lstm,SKAB,gaussian_noise,7,1,0.5680552461572733,0.38526912181303113,0.44328552803129073,0.41224613519248254,"{'0': 2724, '1': 1765}",False,0.0,119.10748481750488,,
gru,SKAB,gaussian_noise,7,1,0.5551347738917354,0.3626112759643917,0.3983050847457627,0.3796210003106555,"{'0': 2804, '1': 1685}",False,0.0,188.16661834716797,,
cnn1d,SKAB,gaussian_noise,7,1,0.40855424370683896,0.35624519107463454,0.9054758800521513,0.51131971286582,"{'0': 590, '1': 3899}",False,0.0,166.71466827392578,,
automata,SKAB,gaussian_noise,7,1,0.6343366778149386,0.3037037037037037,0.05345501955671447,0.09090909090909091,"{'0': 4215, '1': 270}",False,45.540571212768555,3.027200698852539,high,-0.29230406813461635
lstm,SKAB,original,7,2,0.8343694493783304,0.9919261822376009,0.5378361475922452,0.6974858069748581,"{'0': 3637, '1': 867}",False,0.0,123.15964698791504,,
gru,SKAB,original,7,2,0.8390319715808171,0.994343891402715,0.549718574108818,0.7080144985904149,"{'0': 3620, '1': 884}",False,0.0,164.33382034301758,,
cnn1d,SKAB,original,7,2,0.8301509769094139,0.995249406175772,0.5240775484677924,0.6866038508807866,"{'0': 3662, '1': 842}",False,0.0,169.4493293762207,,
automata,SKAB,original,7,2,0.35555555555555557,0.3554123138475217,1.0,0.5244342407346672,"{'0': 1, '1': 4499}",False,104.01439666748047,1.9984245300292969,high,-7.347943823148687
lstm,SKAB,gaussian_noise,7,2,0.43539076376554176,0.3663646659116648,0.809255784865541,0.5043851101149873,"{'0': 972, '1': 3532}",False,0.0,208.30583572387695,,
gru,SKAB,gaussian_noise,7,2,0.46936056838365897,0.37344,0.7298311444652908,0.49407281964436917,"{'0': 1379, '1': 3125}",False,0.0,215.0399684906006,,
cnn1d,SKAB,gaussian_noise,7,2,0.37455595026642985,0.3579757462686567,0.9599749843652282,0.5214880244606761,"{'0': 216, '1': 4288}",False,0.0,224.1976261138916,,
automata,SKAB,gaussian_noise,7,2,0.3557777777777778,0.3554913294797688,1.0,0.5245202558635395,"{'0': 2, '1': 4498}",False,46.00644111633301,1.9724369049072266,high,-7.347943823148687
lstm,SKAB,original,7,3,0.9324446452779033,0.9270696452036794,0.8824265165728581,0.9041973726369753,"{'0': 2904, '1': 1522}",False,0.0,151.49521827697754,,
gru,SKAB,original,7,3,0.9349299593312246,0.9343936381709742,0.8818011257035647,0.9073359073359073,"{'0': 2917, '1': 1509}",False,0.0,253.02577018737793,,
cnn1d,SKAB,original,7,3,0.9392227745142341,0.9380764163372859,0.890556597873671,0.9136990696182227,"{'0': 2908, '1': 1518}",False,0.0,242.49887466430664,,
automata,SKAB,original,7,3,0.37675260063319765,0.3664897299792292,0.9931207004377736,0.5354012137559002,"{'0': 89, '1': 4333}",False,84.14506912231445,3.999471664428711,high,-2.8159105930045913
lstm,SKAB,gaussian_noise,7,3,0.4401265250790782,0.3701624815361891,0.7836147592245153,0.5028089887640449,"{'0': 1041, '1': 3385}",False,0.0,156.9983959197998,,
gru,SKAB,gaussian_noise,7,3,0.6477632173520108,0.6149425287356322,0.066916823014384,0.12069937958262832,"{'0': 4252, '1': 174}",False,0.0,312.730073928833,,
cnn1d,SKAB,gaussian_noise,7,3,0.3644374152733845,0.36229582577132485,0.9987492182614134,0.5317130014982521,"{'0': 18, '1': 4408}",False,0.0,236.79661750793457,,
automata,SKAB,gaussian_noise,7,3,0.5569877883310719,0.35294117647058826,0.2701688555347092,0.30605738575983,"{'0': 3198, '1': 1224}",False,59.090614318847656,2.999544143676758,high,-2.8159105930045913
lstm,SKAB,original,7,4,0.9395543789984557,0.9754646840148699,0.8448164842240824,0.9054520358868184,"{'0': 3188, '1': 1345}",False,0.0,216.79139137268066,,
gru,SKAB,original,7,4,0.9227884403264945,0.9055967633175994,0.8647778493238892,0.8847167325428195,"{'0': 3050, '1': 1483}",False,0.0,273.8683223724365,,
cnn1d,SKAB,original,7,4,0.9375689388925657,0.9608127721335269,0.8525434642627173,0.9034459228932105,"{'0': 3155, '1': 1378}",False,0.0,342.8184986114502,,
automata,SKAB,original,7,4,0.4952528151909914,0.38256968920217876,0.7688345138441726,0.5109114249037228,"{'0': 1408, '1': 3121}",False,95.83091735839844,8.00180435180664,low,-0.011993499962423406
lstm,SKAB,gaussian_noise,7,4,0.5140083829693359,0.3503683241252302,0.4900193174500966,0.40859060402684566,"{'0': 2361, '1': 2172}",False,0.0,260.00094413757324,,
gru,SKAB,gaussian_noise,7,4,0.4630487535848224,0.35931012456084316,0.7244043786220219,0.4803586678052946,"{'0': 1402, '1': 3131}",False,0.0,186.14912033081055,,
cnn1d,SKAB,gaussian_noise,7,4,0.34811383189940437,0.3433869526362824,0.9896973599484868,0.5098689666611378,"{'0': 57, '1': 4476}",False,0.0,207.3671817779541,,
automata,SKAB,gaussian_noise,7,4,0.35570766173548246,0.34485110252330076,0.9768190598840953,0.509744623655914,"{'0': 130, '1': 4399}",False,65.99903106689453,3.068208694458008,low,-0.011993499962423406
lstm,BATADAL,original,7,0,0.7707082833133253,0.008849557522123894,0.0125,0.010362694300518135,"{'0': 720, '1': 113}",False,0.0,37.34302520751953,,
gru,BATADAL,original,7,0,0.7226890756302521,0.22743682310469315,0.7875,0.35294117647058826,"{'0': 556, '1': 277}",False,0.0,35.555362701416016,,
cnn1d,BATADAL,original,7,0,0.7959183673469388,0.0,0.0,0.0,"{'0': 743, '1': 90}",False,0.0,46.09370231628418,,
automata,BATADAL,original,7,0,0.8383594692400482,0.05,0.0375,0.04285714285714286,"{'0': 769, '1': 60}",False,19.00196075439453,0.99945068359375,low,-2.1302391889579746
lstm,BATADAL,gaussian_noise,7,0,0.7839135654261705,0.0,0.0,0.0,"{'0': 733, '1': 100}",False,0.0,49.04580116271973,,
gru,BATADAL,gaussian_noise,7,0,0.7635054021608644,0.05343511450381679,0.0875,0.06635071090047394,"{'0': 702, '1': 131}",False,0.0,38.555145263671875,,
cnn1d,BATADAL,gaussian_noise,7,0,0.8235294117647058,0.014492753623188406,0.0125,0.013422818791946308,"{'0': 764, '1': 69}",False,0.0,51.99885368347168,,
automata,BATADAL,gaussian_noise,7,0,0.7020506634499397,0.0845771144278607,0.2125,0.12099644128113879,"{'0': 628, '1': 201}",False,16.000747680664062,1.003265380859375,low,-2.1302391889579746
lstm,SKAB,original,999,0,0.9003329633740289,0.8786407766990292,0.8221933809214795,0.8494803888702648,"{'0': 3063, '1': 1442}",False,0.0,205.1379680633545,,
gru,SKAB,original,999,0,0.8994450610432853,0.8798882681564246,0.81765087605451,0.8476286579212916,"{'0': 3073, '1': 1432}",False,0.0,247.07508087158203,,
cnn1d,SKAB,original,999,0,0.8847946725860155,0.8370712401055409,0.8234912394548994,0.830225711481845,"{'0': 2989, '1': 1516}",False,0.0,226.99952125549316,,
automata,SKAB,original,999,0,0.578538102643857,0.43397626112759646,0.7592472420506164,0.5522775548737314,"{'0': 1805, '1': 2696}",False,67.00015068054199,6.018877029418945,high,-0.3985185916839477
lstm,SKAB,gaussian_noise,999,0,0.4996670366259711,0.37853492333901195,0.7209604153147307,0.4964253798033959,"{'0': 1570, '1': 2935}",False,0.0,265.1996612548828,,
gru,SKAB,gaussian_noise,999,0,0.6643729189789124,0.5262206148282098,0.18883841661258924,0.27793696275071633,"{'0': 3952, '1': 553}",False,0.0,175.9955883026123,,
cnn1d,SKAB,gaussian_noise,999,0,0.36537180910099887,0.34794646977388094,0.9785853341985724,0.5133617021276595,"{'0': 171, '1': 4334}",False,0.0,234.12799835205078,,
automata,SKAB,gaussian_noise,999,0,0.6325261053099311,0.3044982698961938,0.05710577547047372,0.09617486338797815,"{'0': 4212, '1': 289}",False,79.99992370605469,3.999471664428711,high,-0.3985185916839477
lstm,SKAB,original,999,1,0.9126754288260192,0.8511685116851169,0.9022164276401564,0.8759493670886076,"{'0': 2863, '1': 1626}",False,0.0,176.25713348388672,,
gru,SKAB,original,999,1,0.9135664958788149,0.8554590570719603,0.8989569752281616,0.8766687857596949,"{'0': 2877, '1': 1612}",False,0.0,237.0927333831787,,
cnn1d,SKAB,original,999,1,0.9182445979059924,0.8649155722326454,0.9015645371577575,0.8828598787105011,"{'0': 2890, '1': 1599}",False,0.0,314.00012969970703,,
automata,SKAB,original,999,1,0.5641025641025641,0.41583366653338666,0.6779661016949152,0.5154894671623296,"{'0': 1984, '1': 2501}",False,81.99906349182129,3.9980411529541016,high,-0.29230406813461635
lstm,SKAB,gaussian_noise,999,1,0.575629316106037,0.3744075829383886,0.3604954367666232,0.36731982729990037,"{'0': 3012, '1': 1477}",False,0.0,179.46219444274902,,
gru,SKAB,gaussian_noise,999,1,0.5647137447092894,0.3909657320872274,0.4908735332464146,0.4352601156069364,"{'0': 2563, '1': 1926}",False,0.0,226.99975967407227,,
cnn1d,SKAB,gaussian_noise,999,1,0.4778347070617064,0.370275464445868,0.7535853976531942,0.4965635738831615,"{'0': 1367, '1': 3122}",False,0.0,235.08119583129883,,
automata,SKAB,gaussian_noise,999,1,0.6465997770345596,0.4135593220338983,0.07953063885267275,0.13340623291416073,"{'0': 4190, '1': 295}",False,69.51665878295898,2.9718875885009766,high,-0.29230406813461635
lstm,SKAB,original,999,2,0.8374777975133215,0.9800664451827242,0.5534709193245778,0.7074340527577938,"{'0': 3601, '1': 903}",False,0.0,167.89484024047852,,
gru,SKAB,original,999,2,0.8385879218472468,0.983370288248337,0.5547217010631644,0.7093162734906038,"{'0': 3602, '1': 902}",False,0.0,216.03012084960938,,
cnn1d,SKAB,original,999,2,0.8410301953818827,0.9911012235817576,0.5572232645403377,0.7133706965572458,"{'0': 3605, '1': 899}",False,0.0,292.6194667816162,,
automata,SKAB,original,999,2,0.35555555555555557,0.3554123138475217,1.0,0.5244342407346672,"{'0': 1, '1': 4499}",False,67.99983978271484,3.999948501586914,high,-7.347943823148687
lstm,SKAB,gaussian_noise,999,2,0.4691385435168739,0.37648159700561445,0.7548467792370231,0.5023933402705515,"{'0': 1298, '1': 3206}",False,0.0,196.02727890014648,,
gru,SKAB,gaussian_noise,999,2,0.5324156305506217,0.38565629228687415,0.5347091932457786,0.4481132075471698,"{'0': 2287, '1': 2217}",False,0.0,208.85634422302246,,
cnn1d,SKAB,gaussian_noise,999,2,0.37633214920071045,0.3592368543508609,0.965603502188868,0.5236560963201627,"{'0': 206, '1': 4298}",False,0.0,231.15301132202148,,
automata,SKAB,gaussian_noise,999,2,0.35555555555555557,0.3554123138475217,1.0,0.5244342407346672,"{'0': 1, '1': 4499}",False,61.62738800048828,4.000663757324219,high,-7.347943823148687
lstm,SKAB,original,999,3,0.9419340262087664,0.9583333333333334,0.8774233896185115,0.9160953313744695,"{'0': 2962, '1': 1464}",False,0.0,162.0016098022461,,
gru,SKAB,original,999,3,0.9394487121554451,0.9451505016722408,0.8836772983114447,0.9133807369101486,"{'0': 2931, '1': 1495}",False,0.0,220.6878662109375,,
cnn1d,SKAB,original,999,3,0.9401265250790781,0.9393939393939394,0.8918073796122576,0.9149823548283607,"{'0': 2908, '1': 1518}",False,0.0,240.99969863891602,,
automata,SKAB,original,999,3,0.37675260063319765,0.3664897299792292,0.9931207004377736,0.5354012137559002,"{'0': 89, '1': 4333}",False,64.52155113220215,2.998828887939453,high,-2.8159105930045913
lstm,SKAB,gaussian_noise,999,3,0.5603253502033438,0.41188420518029456,0.5071919949968731,0.4545964125560538,"{'0': 2457, '1': 1969}",False,0.0,181.0014247894287,,
gru,SKAB,gaussian_noise,999,3,0.5686850429281518,0.3916083916083916,0.35021888680425267,0.36975899636843845,"{'0': 2996, '1': 1430}",False,0.0,200.09970664978027,,
cnn1d,SKAB,gaussian_noise,999,3,0.3737008585630366,0.3646434341103162,0.9881175734834271,0.5327039784221174,"{'0': 93, '1': 4333}",False,0.0,297.03497886657715,,
automata,SKAB,gaussian_noise,999,3,0.5712347354138398,0.3787755102040816,0.29018136335209505,0.3286118980169972,"{'0': 3197, '1': 1225}",False,78.51982116699219,3.9997100830078125,high,-2.8159105930045913
lstm,SKAB,original,999,4,0.9373483344363556,0.9745699326851159,0.8390212491951062,0.9017301038062284,"{'0': 3196, '1': 1337}",False,0.0,196.77376747131348,,
gru,SKAB,original,999,4,0.9338186631369954,0.9523465703971119,0.8493238892466195,0.8978897208985704,"{'0': 3148, '1': 1385}",False,0.0,203.0501365661621,,
cnn1d,SKAB,original,999,4,0.9395543789984557,0.9841029523088569,0.8370895041854475,0.9046624913013221,"{'0': 3212, '1': 1321}",False,0.0,282.0417881011963,,
automata,SKAB,original,999,4,0.4952528151909914,0.38256968920217876,0.7688345138441726,0.5109114249037228,"{'0': 1408, '1': 3121}",False,68.06421279907227,3.0333995819091797,low,-0.011993499962423406
lstm,SKAB,gaussian_noise,999,4,0.4303992940657401,0.3513435423288067,0.7830006439150032,0.4850418827283606,"{'0': 1072, '1': 3461}",False,0.0,198.52352142333984,,
gru,SKAB,gaussian_noise,999,4,0.5040811824398853,0.3696060037523452,0.6342562781712814,0.4670459933617828,"{'0': 1868, '1': 2665}",False,0.0,204.20098304748535,,
cnn1d,SKAB,gaussian_noise,999,4,0.35473196558570486,0.3459811405478222,0.9922730199613651,0.5130680872315632,"{'0': 79, '1': 4454}",False,0.0,218.51491928100586,,
automata,SKAB,gaussian_noise,999,4,0.35526606314859793,0.343628460306566,0.9671603348358017,0.5070898041863605,"{'0': 158, '1': 4371}",False,63.513994216918945,3.0014514923095703,low,-0.011993499962423406
lstm,BATADAL,original,999,0,0.680672268907563,0.025510204081632654,0.0625,0.036231884057971016,"{'0': 637, '1': 196}",False,0.0,31.000137329101562,,
gru,BATADAL,original,999,0,0.6974789915966386,0.03260869565217391,0.075,0.045454545454545456,"{'0': 649, '1': 184}",False,0.0,30.956745147705078,,
cnn1d,BATADAL,original,999,0,0.7418967587034814,0.02127659574468085,0.0375,0.027149321266968326,"{'0': 692, '1': 141}",False,0.0,43.10250282287598,,
automata,BATADAL,original,999,0,0.8383594692400482,0.05,0.0375,0.04285714285714286,"{'0': 769, '1': 60}",False,13.998985290527344,0.0,low,-2.1302391889579746
lstm,BATADAL,gaussian_noise,999,0,0.8427370948379351,0.03636363636363636,0.025,0.02962962962962963,"{'0': 778, '1': 55}",False,0.0,26.57008171081543,,
gru,BATADAL,gaussian_noise,999,0,0.8343337334933973,0.3273809523809524,0.6875,0.4435483870967742,"{'0': 665, '1': 168}",False,0.0,31.483173370361328,,
cnn1d,BATADAL,gaussian_noise,999,0,0.7755102040816326,0.02654867256637168,0.0375,0.031088082901554404,"{'0': 720, '1': 113}",False,0.0,36.000728607177734,,
automata,BATADAL,gaussian_noise,999,0,0.7334137515078407,0.07272727272727272,0.15,0.09795918367346938,"{'0': 664, '1': 165}",False,11.990785598754883,0.0,low,-2.1302391889579746
